model_id,model_name,provider_name,endpoint_name,tag,quantization,context_length,max_completion_tokens,max_prompt_tokens,status,uptime_last_5m,uptime_last_30m,uptime_last_1d,latency_last_30m_ms,throughput_last_30m_tps,prompt_usd_per_mtok,completion_usd_per_mtok,cache_read_usd_per_mtok,cache_write_usd_per_mtok,discount,has_tiered_pricing,supports_tools,supports_tool_choice,supports_implicit_caching,supported_parameters
aion-labs/aion-2.0,AionLabs: Aion-2.0,AionLabs,AionLabs | aion-labs/aion-2.0-20260223,aion-labs,unknown,131072,32768,,0,100,100,100,,,0.8,1.6,0.2,,0,False,True,"{'none': False, 'auto': True, 'required': False, 'function': False}",False,reasoning|include_reasoning|max_tokens|temperature|top_p|response_format|tools|tool_choice
aion-labs/aion-3.0,AionLabs: Aion-3.0,AionLabs,AionLabs | aion-labs/aion-3.0-20260707,aion-labs,unknown,131072,32768,,0,100,100,100,,,3,6,0.75,,0,False,True,"{'none': False, 'auto': True, 'required': False, 'function': False}",False,reasoning|include_reasoning|max_tokens|temperature|top_p|response_format|tools|tool_choice
aion-labs/aion-3.0-mini,AionLabs: Aion-3.0-Mini,AionLabs,AionLabs | aion-labs/aion-3.0-mini-20260707,aion-labs,unknown,131072,32768,,0,100,100,100,,,0.7,1.4,0.18,,0,False,True,"{'none': False, 'auto': True, 'required': False, 'function': False}",False,reasoning|include_reasoning|max_tokens|temperature|top_p|response_format|tools|tool_choice
aion-labs/aion-rp-llama-3.1-8b,AionLabs: Aion-RP 1.0 (8B),AionLabs,AionLabs | aion-labs/aion-rp-llama-3.1-8b,aion-labs,unknown,32768,29491,,0,,,100,,,0.8,1.6,,,0,False,False,"{'none': True, 'auto': True, 'required': True, 'function': True}",False,max_tokens|temperature|top_p
amazon/nova-2-lite-v1,Amazon: Nova 2 Lite,Amazon Bedrock,Amazon Bedrock | amazon/nova-2-lite-v1,amazon-bedrock/eu-west-1,unknown,1000000,65535,,0,100,96.39344262295081,99.00862361648673,,,0.3,2.5,,,0,False,True,"{'none': True, 'auto': True, 'required': True, 'function': True}",False,reasoning|include_reasoning|max_tokens|temperature|top_p|top_k|stop|tool_choice|tools
amazon/nova-2-lite-v1,Amazon: Nova 2 Lite,Amazon Bedrock,Amazon Bedrock | amazon/nova-2-lite-v1,amazon-bedrock,unknown,1000000,65535,,0,,100,99.50253339474897,,,0.3,2.5,,,0,False,True,"{'none': True, 'auto': True, 'required': True, 'function': True}",False,reasoning|include_reasoning|max_tokens|temperature|top_p|top_k|stop|tool_choice|tools
amazon/nova-lite-v1,Amazon: Nova Lite 1.0,Amazon Bedrock,Amazon Bedrock | amazon/nova-lite-v1,amazon-bedrock/eu-west-1,unknown,300000,5120,,-2,100,85.86080586080585,83.11758759277068,,,0.06,0.24,,,0,False,True,"{'none': True, 'auto': True, 'required': True, 'function': True}",False,max_tokens|temperature|top_p|top_k|stop|tools
amazon/nova-lite-v1,Amazon: Nova Lite 1.0,Amazon Bedrock,Amazon Bedrock | amazon/nova-lite-v1,amazon-bedrock,unknown,300000,5120,,0,100,100,99.98664381274625,,,0.06,0.24,,,0,False,True,"{'none': True, 'auto': True, 'required': True, 'function': True}",False,max_tokens|temperature|top_p|top_k|stop|tools
amazon/nova-micro-v1,Amazon: Nova Micro 1.0,Amazon Bedrock,Amazon Bedrock | amazon/nova-micro-v1,amazon-bedrock/eu-west-1,unknown,128000,5120,,-2,84.3098311817279,91.93034614567848,78.25563714130055,,,0.035,0.14,,,0,False,True,"{'none': True, 'auto': True, 'required': True, 'function': True}",False,max_tokens|temperature|top_p|top_k|stop|tools
amazon/nova-micro-v1,Amazon: Nova Micro 1.0,Amazon Bedrock,Amazon Bedrock | amazon/nova-micro-v1,amazon-bedrock,unknown,128000,5120,,0,100,100,97.59809732440938,,,0.035,0.14,,,0,False,True,"{'none': True, 'auto': True, 'required': True, 'function': True}",False,max_tokens|temperature|top_p|top_k|stop|tools
amazon/nova-premier-v1,Amazon: Nova Premier 1.0,Amazon Bedrock,Amazon Bedrock | amazon/nova-premier-v1,amazon-bedrock,unknown,1000000,32000,,0,,,,,,2.5,12.5,0.625,,0,False,True,"{'none': True, 'auto': True, 'required': True, 'function': True}",False,max_tokens|temperature|top_p|top_k|stop|tools
amazon/nova-pro-v1,Amazon: Nova Pro 1.0,Amazon Bedrock,Amazon Bedrock | amazon/nova-pro-v1,amazon-bedrock/eu-west-1,unknown,300000,5120,,0,100,100,100,,,0.8,3.2,,,0,False,True,"{'none': True, 'auto': True, 'required': True, 'function': True}",False,max_tokens|temperature|top_p|top_k|stop|tools
amazon/nova-pro-v1,Amazon: Nova Pro 1.0,Amazon Bedrock,Amazon Bedrock | amazon/nova-pro-v1,amazon-bedrock,unknown,300000,5120,,0,100,,100,,,0.8,3.2,,,0,False,True,"{'none': True, 'auto': True, 'required': True, 'function': True}",False,max_tokens|temperature|top_p|top_k|stop|tools
anthracite-org/magnum-v4-72b,Magnum v4 72B,Mancer 2,Mancer 2 | anthracite-org/magnum-v4-72b,mancer/fp8,fp8,32768,4096,,0,100,100,99.98575498575498,,,2.5,5,,,0,False,False,"{'none': True, 'auto': True, 'required': True, 'function': True}",False,response_format|max_tokens|temperature|top_p|stop|frequency_penalty|presence_penalty|repetition_penalty|logit_bias|top_k|min_p|seed|top_a|logprobs|top_logprobs|structured_outputs
anthropic/claude-3-haiku,Anthropic: Claude 3 Haiku,Amazon Bedrock,Amazon Bedrock | anthropic/claude-3-haiku,amazon-bedrock,unknown,200000,4096,,0,100,100,100,,,0.25,1.25,0.03,0.3,0,False,True,"{'none': True, 'auto': True, 'required': True, 'function': True}",False,max_tokens|temperature|top_p|top_k|stop|tools|tool_choice
anthropic/claude-fable-5,Anthropic: Claude Fable 5,Amazon Bedrock,Amazon Bedrock | anthropic/claude-5-fable-20260609,amazon-bedrock,unknown,1000000,128000,,0,,,,,,10,50,1,12.5,0,False,True,"{'none': True, 'auto': True, 'required': True, 'function': True}",False,reasoning|include_reasoning|max_tokens|stop|tool_choice|tools|response_format|verbosity|reasoning_effort
