rank,date,model_permaslug,author,variant,change,total_tokens,total_prompt_tokens,total_completion_tokens,total_native_tokens_reasoning,total_native_tokens_cached,requests,total_tool_calls
1,2026-09-18,openai/gpt-5.6-luna-20260709,openai,standard,0.04288484327805415,15198286800846,15010523101065,187763699781,0,0,390550399,0
2,2026-09-18,deepseek/deepseek-v4.1-flash-20260910,deepseek,standard,4.8362008992593015,12927499775794,12700296328986,227203446808,0,0,218200830,0
3,2026-09-18,tencent/hy4-preview-20260827,tencent,standard,-0.323580333190634,12008011029484,11904943345463,103067684021,0,0,103794290,0
4,2026-09-18,z-ai/glm-5.3-flash-20260826,z-ai,standard,-0.03769771244835406,11622066805708,11308644114003,313422691705,0,0,329934968,0
5,2026-09-18,deepseek/deepseek-v4-flash-20260731,deepseek,standard,-0.17731014205543383,9897073566225,9499617897120,397455669105,0,0,498343180,0
6,2026-09-18,xiaomi/mimo-v2.5-20260422,xiaomi,standard,0.20012005353067522,7294195845230,7229739300474,64456544756,0,0,99649544,0
7,2026-09-18,tencent/hy3-20260706,tencent,standard,0.35010280702907914,4740163361740,4664406546693,75756815047,0,0,62997048,0
8,2026-09-18,nvidia/nemotron-3-ultra-550b-a55b-20260604,nvidia,free,0.11525195189227747,3982039061965,3962497967139,19541094826,0,0,30275636,0
9,2026-09-18,deepseek/deepseek-v4-flash-20260423,deepseek,standard,-0.14585099443242844,3952731240500,3762955937925,189775302575,0,0,404160709,0
10,2026-09-18,z-ai/glm-5.3-20260816,z-ai,standard,0.015163120923356867,2830968275334,2787619673535,43348601799,0,0,34775417,0
11,2026-09-18,google/gemini-3.8-flash-20260902,google,standard,-0.16457132832336685,2129913081647,2078752804813,51160276834,0,0,57610579,0
12,2026-09-18,meta/muse-spark-1.3-contributor-20260902,meta,standard,0.07054299015691172,2109964082972,2080910500756,29053582216,0,0,30885026,0
13,2026-09-18,openai/gpt-5.6-sol-20260709,openai,standard,0.21165244895755725,2058587015323,2034725702081,23861313242,0,0,33706831,0
14,2026-09-18,openai/gpt-6-astra-20260903,openai,standard,1.3131246166390684,1647077657977,1633169978403,13907679574,0,0,21200811,0
15,2026-09-18,upstage/solar-pro4-20260810,upstage,standard,-0.04377152140419166,1606959302383,1588819166144,18140136239,0,0,21432403,0
16,2026-09-18,z-ai/glm-5.2-20260616,z-ai,standard,-0.23829000749935267,1548975696706,1503543103762,45432592944,0,0,47135316,0
17,2026-09-18,anthropic/claude-sonnet-5-20260630,anthropic,standard,0.10080426461591678,1526269385632,1503718324413,22551061219,0,0,29420481,0
18,2026-09-18,minimax/minimax-m3-20260531,minimax,standard,0.005248543604687591,1478366396988,1450762766352,27603630636,0,0,29573163,0
19,2026-09-18,moonshotai/kimi-k3-20260715,moonshotai,standard,-0.1184388840798883,1421861263442,1394242492895,27618770547,0,0,25978778,0
20,2026-09-18,deepseek/deepseek-v4-pro-20260423,deepseek,standard,0.04344077856590366,1237870929171,1162926013748,74944915423,0,0,51261409,0
